order_id,customer_id,product_id,quantity,order_date
1154,7,201.0,4,2025-10-03
1155,4,201.0,1,2025-10-03
1156,4,201.0,1,2025-10-04
1157,3,203.0,1,2025-10-04
1158,4,205.0,3,not-a-date
1159,2,202.0,3,2025-10-05
1160,4,203.0,4,2025-10-05
1161,3,201.0,1,2025-10-06
1162,8,205.0,4,2025-10-07
1163,8,202.0,1,2025-10-09
1164,6,203.0,1,2025-10-09
1165,999,203.0,4,2025-10-09
1166,1,204.0,3,2025-10-10
1167,1,202.0,4,2025-10-10
1168,1,203.0,2,2025-10-12
1169,2,204.0,3,2025-10-12
1170,2,204.0,1,2025-10-12
1171,3,204.0,4,2025-10-12
1172,8,203.0,1,2025-10-13
1173,5,205.0,2,2025-10-13
1174,2,205.0,1,2025-10-13
1175,999,201.0,1,2025-10-14
1176,999,202.0,1,2025-10-14
1177,7,203.0,2,2025-10-15
1178,2,201.0,2,2025-10-16
1179,5,203.0,3,2025-10-16
1180,3,201.0,3,2025-10-17
1181,4,201.0,1,2025-10-17
1182,1,205.0,3,not-a-date
1183,2,202.0,1,2025-10-18
1184,3,,3,2025-10-19
1185,4,201.0,2,2025-10-19
1186,6,201.0,3,2025-10-19
1187,3,205.0,4,2025-10-20
1188,5,201.0,2,2025-10-20
1189,2,204.0,3,2025-10-21
1190,6,205.0,3,2025-10-22
1191,7,205.0,-1,2025-10-23
1192,2,202.0,1,2025-10-23
1193,7,201.0,3,2025-10-23
1194,4,204.0,2,2025-10-25
1195,2,203.0,1,2025-10-25
1196,7,203.0,3,2025-10-26
1197,7,205.0,3,2025-10-27
1198,999,203.0,3,2025-10-28
1199,5,203.0,-1,2025-10-28
1200,5,205.0,1,2025-10-29
1201,4,999.0,1,2025-10-30
1202,2,205.0,3,2025-10-30
1203,4,204.0,4,2025-10-30
